300 22477
0 2 7
0 3 7
0 4 2
0 8 5
0 9 4
0 10 5
0 11 7
0 13 6
0 14 6
0 17 5
0 20 7
0 23 10
0 24 2
0 26 5
0 27 1
0 28 5
0 35 9
0 42 10
0 43 3
0 44 8
0 45 3
0 46 3
0 47 4
0 48 1
0 50 7
0 51 7
0 52 6
0 53 8
0 57 3
0 59 3
0 60 6
0 67 7
0 68 10
0 69 3
0 70 5
0 71 2
0 74 3
0 76 1
0 78 10
0 79 3
0 80 10
0 82 8
0 85 10
0 86 1
0 89 10
0 90 5
0 91 3
0 94 2
0 95 6
0 96 8
0 101 1
0 105 8
0 107 5
0 108 3
0 109 9
0 112 10
0 114 1
0 117 8
0 120 6
0 125 2
0 126 7
0 127 1
0 131 6
0 132 10
0 135 6
0 136 1
0 137 3
0 140 4
0 141 6
0 143 10
0 145 1
0 146 1
0 149 2
0 150 9
0 153 6
0 155 9
0 156 8
0 157 4
0 159 9
0 160 4
0 161 8
0 163 5
0 166 9
0 167 2
0 169 1
0 170 6
0 173 5
0 176 6
0 177 3
0 178 6
0 179 8
0 180 10
0 184 1
0 185 2
0 186 8
0 188 6
0 189 7
0 190 7
0 191 6
0 192 9
0 193 2
0 195 8
0 198 9
0 204 9
0 205 4
0 206 5
0 207 8
0 208 6
0 209 7
0 211 5
0 213 8
0 214 1
0 219 8
0 220 9
0 225 4
0 229 9
0 231 1
0 232 7
0 235 6
0 236 3
0 238 4
0 241 2
0 245 10
0 247 5
0 248 6
0 250 2
0 251 8
0 253 4
0 254 5
0 257 2
0 258 8
0 259 7
0 263 10
0 264 6
0 270 10
0 272 3
0 275 4
0 276 3
0 277 4
0 279 4
0 282 9
0 284 9
0 285 1
0 288 10
0 289 6
0 290 10
0 291 9
0 294 1
0 297 7
0 298 1
0 299 9
1 7 1
1 8 8
1 9 3
1 14 9
1 15 7
1 16 3
1 19 2
1 21 2
1 27 2
1 29 5
1 34 2
1 36 7
1 39 7
1 41 1
1 42 10
1 44 1
1 45 10
1 46 1
1 47 9
1 50 9
1 52 1
1 56 3
1 58 1
1 60 7
1 61 8
1 62 8
1 64 8
1 67 6
1 69 3
1 71 1
1 77 1
1 78 10
1 80 9
1 81 3
1 84 2
1 85 3
1 86 10
1 87 10
1 88 1
1 89 8
1 90 1
1 95 4
1 97 1
1 98 8
1 99 10
1 102 1
1 103 10
1 104 10
1 105 4
1 108 10
1 109 4
1 112 6
1 116 8
1 117 6
1 118 3
1 119 7
1 120 3
1 122 10
1 123 7
1 125 10
1 127 3
1 128 3
1 130 3
1 133 5
1 134 8
1 135 4
1 138 3
1 139 10
1 141 9
1 155 1
1 156 5
1 157 8
1 162 8
1 163 7
1 164 9
1 165 2
1 166 8
1 168 3
1 169 10
1 172 1
1 173 3
1 175 5
1 176 4
1 177 7
1 183 5
1 184 5
1 185 8
1 189 5
1 193 8
1 194 9
1 195 8
1 196 4
1 197 8
1 199 1
1 200 5
1 201 7
1 202 8
1 204 10
1 205 1
1 207 9
1 209 2
1 210 8
1 211 6
1 212 5
1 213 4
1 214 1
1 216 8
1 219 4
1 220 5
1 221 5
1 224 2
1 230 9
1 231 6
1 232 3
1 233 3
1 236 10
1 239 7
1 242 1
1 245 5
1 246 8
1 247 7
1 250 9
1 252 4
1 255 8
1 259 5
1 262 10
1 263 9
1 264 10
1 266 10
1 269 7
1 274 1
1 277 7
1 280 8
1 281 10
1 283 6
1 286 9
1 288 5
1 289 4
1 291 7
1 292 2
1 294 9
1 295 10
1 297 5
2 3 3
2 4 8
2 6 6
2 8 8
2 12 1
2 14 7
2 15 9
2 17 5
2 19 7
2 21 2
2 23 6
2 25 5
2 26 5
2 27 4
2 28 9
2 29 9
2 32 6
2 33 1
2 34 2
2 38 3
2 39 7
2 40 1
2 41 8
2 42 7
2 43 7
2 45 8
2 49 2
2 51 4
2 54 4
2 55 8
2 56 8
2 57 7
2 59 9
2 61 9
2 62 6
2 64 4
2 65 6
2 67 1
2 69 3
2 73 6
2 75 1
2 76 5
2 79 8
2 84 6
2 85 8
2 87 6
2 88 2
2 89 8
2 90 6
2 91 4
2 93 1
2 94 6
2 97 2
2 104 10
2 109 9
2 110 10
2 111 1
2 114 1
2 115 10
2 120 8
2 121 8
2 122 1
2 123 3
2 124 5
2 125 4
2 126 7
2 133 7
2 134 8
2 136 9
2 139 10
2 142 10
2 143 4
2 144 9
2 145 10
2 148 9
2 150 6
2 154 2
2 155 7
2 156 8
2 158 3
2 163 4
2 164 2
2 165 9
2 169 4
2 172 7
2 174 9
2 177 3
2 178 9
2 181 9
2 184 9
2 185 9
2 187 6
2 190 9
2 193 5
2 195 10
2 200 8
2 202 7
2 206 8
2 207 7
2 210 10
2 211 4
2 213 6
2 216 5
2 217 5
2 218 8
2 221 2
2 223 10
2 227 6
2 231 2
2 232 7
2 237 4
2 239 5
2 241 1
2 243 7
2 244 8
2 246 4
2 252 1
2 253 5
2 257 6
2 258 4
2 263 6
2 264 10
2 267 9
2 270 2
2 272 2
2 273 4
2 274 9
2 278 1
2 279 6
2 282 3
2 284 4
2 285 7
2 286 7
2 287 1
2 288 5
2 292 1
2 293 2
2 294 7
2 297 2
2 298 10
3 4 2
3 5 7
3 6 8
3 7 2
3 11 1
3 14 8
3 18 4
3 20 3
3 22 3
3 25 2
3 35 4
3 36 9
3 39 8
3 40 7
3 42 10
3 43 6
3 49 2
3 51 2
3 54 6
3 55 6
3 57 5
3 64 1
3 66 1
3 68 1
3 74 9
3 75 3
3 76 7
3 80 2
3 81 8
3 84 4
3 85 6
3 86 1
3 88 2
3 89 9
3 90 10
3 92 1
3 93 2
3 97 2
3 99 3
3 100 1
3 101 5
3 102 9
3 103 8
3 105 5
3 106 2
3 107 10
3 110 2
3 114 9
3 115 4
3 116 7
3 117 9
3 119 6
3 123 3
3 125 2
3 126 7
3 128 10
3 130 4
3 131 10
3 133 8
3 134 4
3 136 8
3 138 8
3 139 8
3 140 1
3 141 4
3 143 1
3 144 2
3 146 4
3 147 2
3 148 4
3 149 1
3 153 8
3 156 1
3 159 10
3 163 10
3 165 8
3 166 7
3 167 2
3 169 8
3 171 7
3 172 6
3 174 3
3 175 10
3 178 3
3 181 4
3 183 8
3 189 2
3 190 7
3 191 3
3 192 6
3 193 10
3 194 8
3 195 3
3 196 10
3 198 3
3 199 1
3 201 10
3 203 6
3 204 7
3 210 4
3 211 8
3 212 3
3 219 1
3 221 8
3 223 7
3 224 6
3 226 5
3 235 4
3 238 8
3 239 3
3 241 6
3 242 7
3 243 8
3 246 10
3 247 9
3 249 5
3 251 6
3 252 8
3 253 3
3 254 5
3 258 1
3 259 3
3 260 2
3 263 6
3 265 10
3 266 4
3 267 10
3 269 4
3 270 10
3 271 9
3 273 5
3 275 4
3 276 5
3 278 10
3 279 3
3 280 9
3 281 8
3 282 8
3 283 2
3 284 5
3 286 4
3 287 8
3 292 9
3 294 5
3 295 4
4 6 8
4 7 1
4 8 9
4 9 9
4 14 9
4 16 6
4 19 4
4 20 9
4 21 9
4 22 1
4 23 3
4 25 9
4 28 3
4 32 5
4 33 8
4 34 10
4 38 9
4 40 6
4 43 2
4 50 4
4 51 2
4 52 10
4 53 2
4 54 1
4 55 1
4 57 9
4 58 4
4 59 6
4 61 9
4 66 2
4 70 9
4 73 10
4 74 9
4 75 2
4 76 3
4 77 3
4 79 1
4 82 7
4 83 6
4 84 5
4 85 6
4 87 5
4 88 9
4 89 10
4 90 8
4 91 5
4 95 6
4 96 10
4 98 8
4 103 8
4 105 5
4 106 2
4 109 10
4 112 8
4 113 9
4 122 9
4 123 4
4 124 1
4 125 5
4 126 9
4 128 4
4 129 4
4 130 6
4 131 2
4 133 5
4 137 3
4 138 6
4 140 5
4 141 3
4 142 5
4 146 1
4 147 5
4 148 8
4 150 7
4 151 9
4 152 5
4 154 4
4 156 7
4 158 1
4 160 9
4 163 1
4 164 2
4 165 10
4 170 9
4 171 1
4 175 9
4 178 5
4 180 6
4 182 8
4 183 3
4 185 7
4 186 2
4 187 3
4 188 7
4 189 3
4 191 6
4 193 6
4 194 1
4 199 8
4 200 6
4 203 2
4 205 6
4 206 2
4 207 7
4 208 6
4 213 2
4 214 5
4 215 5
4 216 4
4 217 2
4 219 7
4 220 6
4 223 1
4 225 4
4 226 6
4 227 6
4 229 2
4 230 9
4 232 6
4 234 9
4 239 3
4 240 2
4 243 4
4 244 5
4 246 4
4 251 1
4 252 7
4 255 4
4 257 10
4 261 7
4 263 5
4 264 3
4 265 4
4 266 2
4 267 2
4 272 6
4 274 5
4 275 7
4 278 5
4 279 9
4 280 10
4 284 8
4 286 8
4 287 8
4 292 3
4 296 2
4 297 6
4 299 3
5 7 8
5 9 7
5 10 7
5 12 5
5 14 4
5 17 1
5 19 2
5 23 2
5 26 1
5 27 7
5 29 5
5 30 3
5 35 8
5 39 8
5 41 5
5 42 10
5 44 9
5 45 7
5 47 1
5 48 2
5 49 4
5 51 9
5 53 9
5 54 6
5 56 5
5 58 7
5 59 7
5 62 4
5 63 5
5 64 4
5 73 6
5 74 9
5 75 1
5 77 10
5 79 5
5 83 8
5 84 6
5 90 7
5 93 6
5 95 10
5 99 4
5 101 6
5 103 8
5 104 1
5 105 7
5 106 7
5 107 4
5 109 2
5 113 2
5 116 9
5 117 10
5 120 8
5 122 4
5 129 8
5 130 4
5 135 3
5 137 8
5 139 9
5 141 8
5 144 3
5 145 2
5 146 9
5 147 4
5 148 8
5 149 9
5 151 1
5 156 5
5 157 2
5 159 4
5 160 10
5 161 1
5 162 7
5 163 2
5 164 4
5 165 5
