50 596
0 2 3
0 3 3
0 4 5
0 8 2
0 9 5
0 10 4
0 11 6
0 13 2
0 14 1
0 17 5
0 20 3
0 23 10
0 24 2
0 26 9
0 27 9
0 28 10
0 35 10
0 42 6
0 43 9
0 44 4
0 45 7
0 46 3
0 47 7
0 48 8
1 2 9
1 3 3
1 4 7
1 5 7
1 9 4
1 11 6
1 12 10
1 19 1
1 20 8
1 21 6
1 22 1
1 23 2
1 26 9
1 28 4
1 30 9
1 31 10
1 32 3
1 34 4
1 37 3
1 38 2
1 41 5
1 42 2
1 43 4
1 46 10
1 47 5
1 48 9
2 6 1
2 10 3
2 12 9
2 13 7
2 14 4
2 17 5
2 19 7
2 22 6
2 25 8
2 30 4
2 31 10
2 32 2
2 36 4
2 37 9
2 40 7
2 41 6
2 42 8
2 45 1
2 46 2
2 48 5
3 4 8
3 5 7
3 8 3
3 9 8
3 12 9
3 14 10
3 15 5
3 16 3
3 18 2
3 19 2
3 20 2
3 22 5
3 25 6
3 26 2
3 28 3
3 29 2
3 32 3
3 35 3
3 36 7
3 37 1
3 38 1
3 39 3
3 43 9
3 44 3
3 45 5
3 47 1
3 48 3
3 49 5
4 5 9
4 6 6
4 7 1
4 9 8
4 12 9
4 18 5
4 19 6
4 20 7
4 21 5
4 22 6
4 23 8
4 25 10
4 27 7
4 28 6
4 33 6
4 34 2
4 39 6
4 43 4
4 45 4
4 46 8
4 49 9
5 6 1
5 8 8
5 11 5
5 15 6
5 17 1
5 18 7
5 20 1
5 21 3
5 23 3
5 24 7
5 27 4
5 28 4
5 29 7
5 33 6
5 34 9
5 40 6
5 42 8
5 45 7
5 46 7
5 47 5
5 49 6
6 9 2
6 11 5
6 12 4
6 15 7
6 16 8
6 17 1
6 18 1
6 21 9
6 24 10
6 25 3
6 26 6
6 32 1
6 33 1
6 34 3
6 39 3
6 40 3
6 41 5
6 44 10
6 46 8
7 10 1
7 12 9
7 17 8
7 19 4
7 22 9
7 24 8
7 25 9
7 27 7
7 28 7
7 29 6
7 30 2
7 33 2
7 35 4
7 39 8
7 41 2
7 43 6
7 44 4
7 45 4
7 47 5
8 9 5
8 11 5
8 13 3
8 19 6
8 20 8
8 22 9
8 23 9
8 26 1
8 27 8
8 28 7
8 29 4
8 30 5
8 31 10
8 32 8
8 37 2
8 39 3
8 40 4
8 41 4
8 44 5
8 45 5
8 46 6
8 47 3
9 10 10
9 11 2
9 14 7
9 18 4
9 19 4
9 20 8
9 21 4
9 22 9
9 24 2
9 25 1
9 27 9
9 29 9
9 30 7
9 32 9
9 35 9
9 36 1
9 37 1
9 40 9
9 41 7
9 43 10
10 18 6
10 19 10
10 20 4
10 25 1
10 26 8
10 27 4
10 28 4
10 29 4
10 31 2
10 32 5
10 35 3
10 36 1
10 38 8
10 39 3
10 40 5
10 46 6
10 47 9
10 48 5
11 14 7
11 18 1
11 19 1
11 20 3
11 21 1
11 22 10
11 24 7
11 25 2
11 26 5
11 27 6
11 29 2
11 30 2
11 32 8
11 34 6
11 35 8
11 36 5
11 37 7
11 38 6
11 39 4
11 41 5
11 44 4
11 45 10
11 46 2
11 49 9
12 18 5
12 19 8
12 20 7
12 21 4
12 24 7
12 27 10
12 30 7
12 33 5
12 34 10
12 35 4
12 38 7
12 40 10
12 43 3
12 47 5
13 14 9
13 15 4
13 16 6
13 18 2
13 21 10
13 26 3
13 29 2
13 32 7
13 33 6
13 35 4
13 38 5
13 40 3
13 41 5
13 43 5
13 44 3
13 46 3
13 47 6
13 49 9
14 17 2
14 18 9
14 20 6
14 22 5
14 26 10
14 28 9
14 29 3
14 31 9
14 33 8
14 35 10
14 37 9
14 39 5
14 40 1
14 41 8
14 42 2
14 43 2
14 46 10
14 47 1
14 48 3
15 18 10
15 19 6
15 20 7
15 21 1
15 22 2
15 23 8
15 25 6
15 29 7
15 31 6
15 34 7
15 35 3
15 36 10
15 37 9
15 39 5
15 41 3
15 42 2
15 44 8
15 45 1
15 47 3
15 49 8
16 20 8
16 22 6
16 23 1
16 26 5
16 31 9
16 32 2
16 34 3
16 35 4
16 36 5
16 37 2
16 38 10
16 40 2
16 41 7
16 44 5
17 19 10
17 24 1
17 25 9
17 26 3
17 29 9
17 30 8
17 35 8
17 36 8
17 37 4
17 38 5
17 39 7
17 40 6
17 41 10
17 48 9
17 49 5
18 20 8
18 23 1
18 26 2
18 27 3
18 28 8
18 29 4
18 32 10
18 34 6
18 38 9
18 39 5
18 40 2
18 42 3
18 47 3
18 48 5
18 49 5
19 23 4
19 26 2
19 28 1
19 31 2
19 32 2
19 35 9
19 38 4
19 39 5
19 41 6
19 44 9
19 47 10
19 49 3
20 25 8
20 27 10
20 31 5
20 32 8
20 35 5
20 36 2
20 38 4
20 41 1
20 42 5
20 43 3
20 46 8
20 48 1
21 24 10
21 28 1
21 29 1
21 34 9
21 36 7
21 38 2
21 40 5
21 41 8
21 43 5
21 49 10
22 23 5
22 27 2
22 28 7
22 33 1
22 34 4
22 37 2
22 40 10
22 42 2
22 43 3
22 44 8
22 48 10
22 49 7
23 26 6
23 28 2
23 29 10
23 30 2
23 31 6
23 32 9
23 36 8
23 37 7
23 38 7
23 41 7
23 42 5
23 44 2
23 45 8
23 46 8
23 47 9
24 26 7
24 29 5
24 33 3
24 35 3
24 37 10
24 40 4
25 26 6
25 27 8
25 30 1
25 31 6
25 33 6
25 34 2
25 40 5
25 42 2
25 45 4
25 46 9
25 48 9
26 32 3
26 34 6
26 36 8
26 42 2
26 43 5
26 44 10
26 48 4
26 49 1
27 30 2
27 31 5
27 32 5
27 34 1
27 35 7
27 36 1
27 38 10
27 39 6
27 43 1
27 45 8
27 46 1
27 47 1
27 48 1
27 49 10
