150 5591
0 2 7
0 3 1
0 4 2
0 8 2
0 9 2
0 10 2
0 11 3
0 13 9
0 14 6
0 17 3
0 20 8
0 23 9
0 24 6
0 26 10
0 27 9
0 28 10
0 35 2
0 42 6
0 43 10
0 44 1
0 45 10
0 46 5
0 47 8
0 48 1
0 50 9
0 51 9
0 52 4
0 53 4
0 57 9
0 59 8
0 60 9
0 67 8
0 68 6
0 69 6
0 70 2
0 71 3
0 74 9
0 76 9
0 78 9
0 79 2
0 80 8
0 82 4
0 85 7
0 86 9
0 89 4
0 90 8
0 91 9
0 94 1
0 95 4
0 96 2
0 101 1
0 105 5
0 107 8
0 108 5
0 109 5
0 112 4
0 114 4
0 117 10
0 120 2
0 125 2
0 126 3
0 127 10
0 131 6
0 132 4
0 135 3
0 136 6
0 137 10
0 140 1
0 141 3
0 143 3
0 145 8
0 146 10
0 149 1
1 2 2
1 5 9
1 7 9
1 8 4
1 9 8
1 11 2
1 12 9
1 13 7
1 15 10
1 18 8
1 19 7
1 21 2
1 22 9
1 25 4
1 28 2
1 29 10
1 30 10
1 31 5
1 32 5
1 36 3
1 37 4
1 38 7
1 40 10
1 41 9
1 42 10
1 43 7
1 44 6
1 45 4
1 47 1
1 50 9
1 56 9
1 57 6
1 58 6
1 59 5
1 60 3
1 61 7
1 63 7
1 65 3
1 66 10
1 71 9
1 72 2
1 77 4
1 81 1
1 83 6
1 84 9
1 87 8
1 88 4
1 90 7
1 93 7
1 97 6
1 99 7
1 100 3
1 102 9
1 103 6
1 105 6
1 106 6
1 109 7
1 110 8
1 111 8
1 115 9
1 116 6
1 122 3
1 124 10
1 127 5
1 128 6
1 129 3
1 131 7
1 134 3
1 136 9
1 137 2
1 140 4
1 141 8
1 142 4
1 143 5
1 146 5
1 149 4
2 3 6
2 4 6
2 10 2
2 11 9
2 12 6
2 17 9
2 18 9
2 19 4
2 22 10
2 24 2
2 30 4
2 32 4
2 37 5
2 39 8
2 42 2
2 44 2
2 45 6
2 47 10
2 48 5
2 49 8
2 50 7
2 53 1
2 55 4
2 59 9
2 61 2
2 63 4
2 64 1
2 65 7
2 67 10
2 70 10
2 72 5
2 74 10
2 80 10
2 81 8
2 83 8
2 84 2
2 87 7
2 88 1
2 89 4
2 90 6
2 91 6
2 92 10
2 93 5
2 98 5
2 100 8
2 101 7
2 102 5
2 105 8
2 106 1
2 107 6
2 108 7
2 111 8
2 112 6
2 115 4
2 119 9
2 120 1
2 121 5
2 122 1
2 123 7
2 125 10
2 126 1
2 128 8
2 130 1
2 131 5
2 133 9
2 136 10
2 137 4
2 138 6
2 141 9
2 142 10
2 144 7
3 12 5
3 13 8
3 14 6
3 19 9
3 20 3
3 21 4
3 22 1
3 23 10
3 25 5
3 26 5
3 29 9
3 30 4
3 32 8
3 33 10
3 34 7
3 40 4
3 41 3
3 42 7
3 46 6
3 50 9
3 51 10
3 52 3
3 53 7
3 54 10
3 56 5
3 57 6
3 58 2
3 59 10
3 61 5
3 62 7
3 64 7
3 66 7
3 67 10
3 68 9
3 69 6
3 70 9
3 71 2
3 73 5
3 76 5
3 77 9
3 78 10
3 81 3
3 87 2
3 88 3
3 89 6
3 90 3
3 93 3
3 96 2
3 99 1
3 102 9
3 103 7
3 104 1
3 107 4
3 109 4
3 112 6
3 116 8
3 119 7
3 120 4
3 121 6
3 123 8
3 126 5
3 131 3
3 134 6
3 137 7
3 138 4
3 140 5
3 143 7
3 145 4
3 146 7
3 148 1
3 149 7
4 6 8
4 7 1
4 9 5
4 12 1
4 13 9
4 15 5
4 17 7
4 21 5
4 23 2
4 24 10
4 26 7
4 28 2
4 30 6
4 32 5
4 34 3
4 35 10
4 36 8
4 37 7
4 38 6
4 41 4
4 42 4
4 43 6
4 47 4
4 48 7
4 49 4
4 50 4
4 51 9
4 52 4
4 54 9
4 58 9
4 60 1
4 63 2
4 64 4
4 65 3
4 66 7
4 68 8
4 70 10
4 71 1
4 73 3
4 74 6
4 76 9
4 78 1
4 82 5
4 84 7
4 85 5
4 88 4
4 93 3
4 94 7
4 96 4
4 97 8
4 98 1
4 99 7
4 100 9
4 102 4
4 103 2
4 106 10
4 113 4
4 118 8
4 119 5
4 120 6
4 123 4
4 124 1
4 129 2
4 130 2
4 131 10
4 132 7
4 133 4
4 134 8
4 135 3
4 142 5
4 143 2
4 145 6
4 148 7
5 7 9
5 8 2
5 9 2
5 10 9
5 13 7
5 15 10
5 19 6
5 20 9
5 21 10
5 23 2
5 28 8
5 29 2
5 30 9
5 34 7
5 37 1
5 39 6
5 42 7
5 43 10
5 46 3
5 49 7
5 50 2
5 52 7
5 55 5
5 58 6
5 60 10
5 65 1
5 67 2
5 71 10
5 72 7
5 75 3
5 76 7
5 78 4
5 81 6
5 82 6
5 83 9
5 86 6
5 88 8
5 92 5
5 96 3
5 97 10
5 102 8
5 104 2
5 106 10
5 108 7
5 109 2
5 111 5
5 117 2
5 118 3
5 122 7
5 123 2
5 128 7
5 129 5
5 132 7
5 135 8
5 137 7
5 138 1
5 139 5
5 143 8
5 144 4
5 147 1
5 149 4
6 7 2
6 8 1
6 9 8
6 10 8
6 14 3
6 15 8
6 16 5
6 19 2
6 20 9
6 22 6
6 23 8
6 24 2
6 25 7
6 29 9
6 32 5
6 36 4
6 38 10
