50 96
0 1 2
0 2 1
0 3 7
0 5 3
0 7 4
0 9 10
0 10 3
0 11 8
0 13 4
0 14 10
0 17 3
0 18 10
0 19 9
0 20 4
0 22 4
0 23 8
0 25 10
0 28 4
0 32 10
0 36 1
0 38 10
0 44 5
0 45 9
0 47 3
1 3 6
1 4 2
1 6 4
1 7 10
1 8 10
1 15 10
1 17 8
1 21 1
1 27 6
1 28 7
1 43 1
1 45 8
1 49 4
2 4 3
2 16 4
2 41 8
3 8 7
4 5 3
4 6 10
4 12 2
4 13 3
4 15 7
4 16 7
4 18 5
4 19 10
4 23 3
4 30 9
4 36 10
4 40 3
5 11 3
5 12 5
5 22 4
5 24 2
5 30 7
5 33 7
5 34 6
5 39 10
5 42 4
6 9 9
6 29 1
6 31 3
6 37 4
8 10 3
8 14 10
8 20 8
8 26 4
10 32 2
12 37 8
13 26 9
13 40 10
15 46 6
15 47 2
16 21 6
16 33 3
16 43 1
16 49 6
17 38 6
17 46 4
19 24 6
21 25 1
21 34 2
22 42 6
24 27 4
24 35 6
25 35 7
26 29 8
27 44 7
29 31 6
31 39 10
33 48 9
37 41 10
43 48 6
