300 596
0 1 1
0 2 9
0 3 4
0 5 10
0 7 4
0 9 4
0 10 6
0 11 2
0 13 5
0 14 1
0 17 4
0 18 7
0 19 6
0 20 5
0 22 10
0 23 5
0 25 10
0 28 1
0 32 2
0 36 9
0 38 9
0 44 2
0 45 4
0 47 9
0 50 3
0 57 2
0 60 3
0 61 7
0 68 10
0 71 6
0 77 7
0 78 4
0 86 9
0 88 10
0 91 3
0 98 5
0 103 3
0 107 1
0 110 3
0 116 2
0 118 1
0 122 1
0 130 8
0 139 2
0 140 10
0 201 4
0 234 1
0 240 4
0 241 6
0 255 5
0 267 3
0 268 2
0 271 4
0 284 6
0 289 2
1 3 5
1 4 1
1 6 7
1 7 2
1 8 1
1 15 7
1 17 4
1 21 7
1 27 6
1 28 7
1 43 8
1 45 10
1 49 2
1 65 2
1 67 5
1 75 9
1 78 5
1 97 8
1 99 5
1 106 10
1 112 8
1 125 10
1 133 8
1 137 10
1 140 8
1 141 8
1 143 4
1 156 2
1 175 3
1 177 9
1 189 6
1 195 5
1 196 6
1 199 7
1 204 9
1 210 10
1 212 1
1 232 6
1 251 7
1 253 1
1 265 2
1 267 9
1 275 4
1 298 6
2 4 9
2 16 9
2 41 4
2 57 5
2 79 5
2 102 4
2 166 1
2 175 6
2 192 6
2 198 7
2 238 5
3 8 5
3 217 2
4 5 1
4 6 3
4 12 7
4 13 8
4 15 2
4 16 2
4 18 5
4 19 3
4 23 8
4 30 4
4 36 1
4 40 9
4 53 1
4 62 8
4 64 3
4 69 4
4 74 4
4 80 7
4 83 1
4 86 6
4 87 2
4 93 7
4 99 1
4 102 8
4 114 8
4 117 2
4 154 2
4 157 4
4 174 6
4 180 2
4 192 5
4 194 7
4 200 7
4 207 2
4 218 1
4 227 3
4 249 1
4 253 2
4 286 2
4 288 6
4 297 7
5 11 1
5 12 1
5 22 9
5 24 8
5 30 5
5 33 4
5 34 8
5 39 10
5 42 1
5 62 4
5 67 2
5 135 6
6 9 7
6 29 9
6 31 7
6 37 4
6 50 3
6 55 2
6 60 10
6 82 2
6 101 3
6 105 9
6 110 7
6 115 1
6 133 7
6 143 8
6 148 4
6 154 8
6 161 10
6 182 6
6 191 8
6 203 2
6 231 6
6 248 8
7 59 8
7 129 8
8 10 5
8 14 10
8 20 7
8 26 7
8 117 8
8 121 9
8 278 8
9 104 1
9 124 3
9 149 1
9 234 3
10 32 6
10 51 7
10 58 5
10 85 8
10 95 7
10 105 1
10 108 8
10 121 1
10 206 7
10 233 8
11 61 7
11 225 5
11 231 9
11 245 7
11 298 4
12 37 6
12 84 10
12 205 7
13 26 9
13 40 8
13 116 4
13 128 1
14 123 1
14 134 5
14 149 4
14 280 2
15 46 10
15 47 10
15 73 4
15 118 3
15 127 4
15 131 1
15 142 2
15 188 9
15 216 1
15 235 6
15 237 10
15 258 10
15 281 5
16 21 10
16 33 6
16 43 5
16 49 9
16 68 3
16 96 8
16 113 1
16 146 2
16 148 3
16 151 4
16 167 3
16 202 4
16 219 2
16 246 5
17 38 3
17 46 5
17 52 2
17 147 9
18 51 4
18 54 7
18 111 9
18 161 9
18 167 3
19 24 2
19 153 6
19 172 2
19 236 3
19 264 7
20 165 1
20 168 1
21 25 1
21 34 2
21 75 5
22 42 2
22 76 4
22 151 4
22 152 6
22 157 4
22 158 10
22 174 3
24 27 8
24 35 2
24 72 7
24 134 5
25 35 6
25 135 2
25 190 7
25 193 6
25 221 3
25 255 2
25 280 7
26 29 6
26 64 7
26 65 5
26 84 5
26 91 10
26 109 6
26 128 5
26 171 3
26 260 7
26 291 4
26 295 1
27 44 8
27 56 7
27 90 7
27 92 8
27 106 1
27 119 5
27 164 9
27 168 6
27 288 9
27 290 1
27 294 4
28 180 4
29 31 10
29 224 9
29 245 7
29 281 7
30 98 9
30 199 8
31 39 5
31 55 9
31 56 2
31 181 6
31 242 3
31 250 5
31 282 7
32 81 9
32 82 5
32 155 6
33 48 5
33 59 3
33 97 6
33 127 10
33 188 10
33 232 6
34 58 7
34 204 4
35 71 9
35 89 1
35 163 9
35 171 2
37 41 5
37 53 3
37 81 6
37 108 3
37 130 9
37 259 9
39 70 1
39 203 5
39 222 7
39 248 5
39 292 4
41 93 6
41 144 6
41 183 1
41 213 1
42 223 10
43 48 9
43 80 2
43 214 7
43 229 6
43 283 4
44 136 8
45 63 4
45 69 1
47 217 5
47 243 1
47 266 9
48 131 2
49 52 2
49 54 9
49 76 5
49 95 1
49 115 5
49 125 4
49 138 9
49 153 10
49 186 6
49 196 9
49 266 3
49 277 7
50 66 8
50 72 8
50 88 9
50 145 3
50 252 9
52 63 3
52 162 3
53 124 7
54 119 7
54 166 9
55 185 9
55 208 2
55 256 8
56 138 6
56 169 3
56 263 5
56 287 6
57 70 10
57 85 6
57 94 9
57 146 2
58 227 2
59 96 9
61 66 2
61 120 5
61 132 6
61 189 1
61 238 2
62 87 10
62 113 3
62 114 3
62 136 6
62 193 8
62 214 10
64 79 8
64 172 7
65 132 2
65 152 8
65 209 10
65 222 8
65 261 7
65 270 4
66 73 2
66 74 7
66 184 2
67 107 7
67 219 6
68 160 6
68 243 5
68 262 3
69 77 5
69 89 10
69 100 4
69 101 7
69 142 7
69 162 2
69 170 3
69 181 4
69 187 5
69 244 4
69 279 3
70 129 3
71 183 6
71 254 4
72 100 1
72 191 3
72 265 2
74 83 8
74 173 10
74 220 8
75 112 9
75 126 4
75 137 4
75 177 6
77 145 6
77 211 7
77 286 4
78 164 3
78 179 5
78 187 8
