400 796
0 1 9
0 2 1
0 3 1
0 5 1
0 7 4
0 9 10
0 10 6
0 11 4
0 13 8
0 14 1
0 17 5
0 18 7
0 19 2
0 20 2
0 22 3
0 23 5
0 25 4
0 28 9
0 32 2
0 36 5
0 38 1
0 44 7
0 45 4
0 47 4
0 50 4
0 57 3
0 60 7
0 61 1
0 68 1
0 71 5
0 77 2
0 78 2
0 86 7
0 88 10
0 91 5
0 98 3
0 103 9
0 107 7
0 110 6
0 116 4
0 118 8
0 122 9
0 130 9
0 139 7
0 140 5
0 201 5
0 234 3
0 240 7
0 241 4
0 255 1
0 267 3
0 268 9
0 271 8
0 284 5
0 289 6
0 304 4
0 318 5
0 325 1
0 352 6
0 367 8
0 382 1
0 384 1
0 391 10
0 398 10
1 3 6
1 4 6
1 6 8
1 7 9
1 8 8
1 15 2
1 17 3
1 21 1
1 27 7
1 28 7
1 43 9
1 45 10
1 49 10
1 65 2
1 67 8
1 75 7
1 78 7
1 97 9
1 99 8
1 106 10
1 112 8
1 125 7
1 133 6
1 137 8
1 140 7
1 141 8
1 143 2
1 156 8
1 175 7
1 177 10
1 189 10
1 195 7
1 196 4
1 199 2
1 204 3
1 210 4
1 212 1
1 232 3
1 251 4
1 253 8
1 265 8
1 267 4
1 275 8
1 298 4
1 304 9
1 306 1
1 353 3
1 358 10
1 380 9
2 4 5
2 16 10
2 41 5
2 57 5
2 79 4
2 102 8
2 166 6
2 175 5
2 192 9
2 198 10
2 238 4
2 357 3
3 8 5
3 217 10
3 314 3
3 372 3
3 373 6
4 5 2
4 6 3
4 12 2
4 13 1
4 15 3
4 16 9
4 18 6
4 19 10
4 23 6
4 30 5
4 36 6
4 40 2
4 53 10
4 62 1
4 64 2
4 69 7
4 74 6
4 80 3
4 83 7
4 86 6
4 87 4
4 93 4
4 99 6
4 102 6
4 114 10
4 117 8
4 154 6
4 157 5
4 174 5
4 180 9
4 192 4
4 194 3
4 200 6
4 207 6
4 218 2
4 227 9
4 249 10
4 253 7
4 286 6
4 288 4
4 297 9
4 316 9
4 326 1
4 377 10
4 390 5
5 11 1
5 12 10
5 22 2
5 24 5
5 30 9
5 33 6
5 34 2
5 39 1
5 42 1
5 62 5
5 67 4
5 135 4
5 327 3
5 347 6
6 9 10
6 29 9
6 31 3
6 37 6
6 50 8
6 55 5
6 60 1
6 82 7
6 101 3
6 105 5
6 110 4
6 115 7
6 133 5
6 143 8
6 148 7
6 154 3
6 161 1
6 182 2
6 191 9
6 203 1
6 231 10
6 248 2
6 303 5
6 318 1
6 336 3
6 356 2
6 370 10
6 397 8
7 59 3
7 129 5
8 10 4
8 14 1
8 20 2
8 26 8
8 117 7
8 121 5
8 278 9
9 104 5
9 124 7
9 149 8
9 234 9
9 347 10
9 349 8
10 32 8
10 51 1
10 58 4
10 85 7
10 95 9
10 105 7
10 108 9
10 121 1
10 206 3
10 233 4
11 61 2
11 225 9
11 231 9
11 245 3
11 298 6
11 324 10
11 341 10
11 357 9
11 382 5
12 37 10
12 84 10
12 205 6
12 344 1
12 389 2
13 26 10
13 40 8
13 116 8
13 128 3
14 123 5
14 134 10
14 149 4
14 280 5
14 394 9
15 46 3
15 47 1
15 73 7
15 118 3
15 127 2
15 131 5
15 142 6
15 188 2
15 216 6
15 235 9
15 237 2
15 258 4
15 281 1
15 329 3
15 331 9
15 376 5
15 383 4
15 385 1
16 21 9
16 33 8
16 43 10
16 49 2
16 68 10
16 96 10
16 113 2
16 146 9
16 148 3
16 151 3
16 167 2
16 202 10
16 219 3
16 246 7
16 317 2
16 325 4
16 384 6
16 391 9
17 38 7
17 46 6
17 52 10
17 147 8
17 346 2
18 51 6
18 54 7
18 111 4
18 161 1
18 167 8
19 24 4
19 153 3
19 172 1
19 236 10
19 264 9
20 165 7
20 168 6
20 392 4
21 25 10
21 34 10
21 75 6
22 42 10
22 76 2
22 151 3
22 152 1
22 157 4
22 158 8
22 174 9
22 345 1
24 27 5
24 35 1
24 72 1
24 134 9
25 35 9
25 135 7
25 190 2
25 193 9
25 221 5
25 255 7
25 280 6
25 335 7
25 379 2
26 29 3
26 64 2
26 65 5
26 84 6
26 91 4
26 109 2
26 128 8
26 171 7
26 260 9
26 291 7
26 295 9
27 44 7
27 56 8
27 90 4
27 92 5
27 106 3
27 119 7
27 164 1
27 168 8
27 288 1
27 290 2
27 294 6
27 334 8
27 374 1
27 378 4
28 180 3
28 342 1
29 31 8
29 224 1
29 245 6
29 281 3
30 98 6
30 199 1
31 39 10
31 55 6
31 56 4
31 181 6
31 242 10
31 250 5
31 282 4
32 81 6
32 82 2
32 155 8
33 48 5
33 59 3
33 97 4
33 127 8
33 188 3
33 232 6
33 313 10
34 58 8
34 204 7
34 310 7
35 71 10
35 89 9
35 163 4
35 171 4
35 311 3
35 333 9
37 41 9
37 53 3
37 81 3
37 108 2
37 130 4
37 259 8
39 70 8
39 203 4
39 222 6
39 248 10
39 292 5
40 361 7
40 396 1
41 93 7
41 144 10
41 183 9
41 213 6
41 303 8
42 223 1
43 48 4
43 80 2
43 214 1
43 229 8
43 283 7
43 309 5
43 340 3
43 348 8
44 136 4
44 331 8
44 332 1
45 63 4
45 69 6
45 399 2
47 217 7
47 243 5
47 266 10
48 131 2
48 340 6
49 52 10
49 54 1
49 76 2
49 95 1
49 115 5
49 125 4
49 138 2
49 153 6
49 186 6
49 196 4
49 266 5
49 277 6
49 334 8
49 335 5
49 338 2
49 364 8
49 376 7
49 390 4
49 392 5
50 66 5
50 72 2
50 88 2
50 145 2
50 252 2
50 395 1
52 63 1
52 162 7
53 124 2
53 301 2
54 119 5
54 166 8
55 185 3
55 208 4
55 256 9
56 138 10
56 169 4
56 263 3
56 287 8
57 70 10
57 85 3
57 94 2
57 146 6
58 227 4
58 302 7
59 96 2
60 351 2
60 355 6
61 66 8
61 120 5
61 132 10
61 189 8
61 238 10
61 308 7
61 333 4
62 87 7
62 113 2
62 114 9
62 136 8
62 193 4
62 214 4
62 310 6
62 323 9
63 366 7
64 79 9
64 172 3
64 307 7
65 132 1
65 152 9
65 209 8
65 222 6
65 261 2
65 270 5
65 326 9
65 371 10
66 73 6
66 74 6
66 184 3
66 349 6
67 107 8
67 219 1
68 160 6
68 243 3
68 262 5
69 77 4
69 89 2
69 100 8
69 101 1
69 142 9
69 162 3
69 170 3
69 181 5
69 187 1
69 244 2
69 279 10
69 343 2
70 129 7
71 183 8
71 254 10
72 100 4
72 191 9
72 265 4
72 307 2
72 396 2
74 83 10
74 173 5
74 220 8
75 112 5
75 126 4
75 137 8
75 177 3
75 363 7
77 145 6
77 211 1
77 286 9
78 164 5
78 179 7
78 187 5
78 190 2
78 294 2
78 375 6
79 90 10
79 92 8
79 247 5
80 205 9
80 360 1
82 104 8
82 126 4
82 160 1
82 165 3
82 194 5
82 239 3
82 360 5
84 123 7
85 122 3
85 226 9
85 277 8
85 356 8
86 241 10
86 327 7
86 375 9
87 94 5
87 109 10
87 158 5
87 354 4
88 274 9
89 185 10
91 229 10
91 237 3
92 103 10
92 163 3
92 210 6
93 207 4
93 220 5
93 296 3
94 111 2
94 197 10
94 273 8
96 173 8
96 202 3
99 225 8
99 399 3
100 251 10
101 141 3
101 283 10
102 258 10
103 279 4
103 361 1
104 139 8
107 216 10
107 314 9
107 389 3
109 270 5
110 393 2
111 309 10
111 366 6
112 120 5
113 249 4
113 254 6
113 352 3
113 365 4
114 322 10
116 343 1
119 228 1
119 272 2
126 144 2
126 285 1
126 339 9
126 387 10
127 385 1
128 299 8
128 346 3
129 291 10
130 150 6
131 170 1
132 250 1
132 301 9
132 315 1
134 299 7
135 159 7
137 150 4
137 156 6
137 365 4
139 169 1
139 176 3
139 257 3
139 337 3
140 147 10
140 275 4
140 328 10
141 201 6
141 315 3
141 323 10
141 363 4
142 302 9
143 178 2
143 182 1
143 300 10
144 386 7
144 387 8
145 198 10
145 308 8
146 159 5
147 155 5
148 269 6
148 379 1
149 252 9
150 244 8
150 274 10
150 350 9
154 246 10
154 319 8
155 261 2
156 184 10
157 269 10
158 176 5
158 395 3
160 212 9
160 230 8
160 278 4
160 342 5
161 358 3
162 260 4
165 305 5
165 383 1
166 271 7
169 336 7
170 233 9
171 179 4
172 178 10
172 209 8
173 276 4
173 305 4
173 330 4
173 362 7
174 338 10
175 239 4
176 208 7
176 264 7
176 372 2
177 186 10
177 257 8
178 200 8
179 368 4
181 224 1
182 197 7
183 394 3
188 247 7
190 218 6
190 353 1
191 195 7
191 370 6
193 213 1
196 317 1
196 380 3
198 284 8
199 236 7
201 211 7
201 228 8
201 263 10
201 272 8
201 319 9
203 223 9
203 235 8
203 282 5
203 329 9
205 206 1
205 230 2
205 297 10
206 215 10
206 285 9
209 215 4
209 221 10
209 268 6
209 332 2
209 369 8
210 311 6
214 313 1
216 320 1
216 348 8
217 240 1
217 339 2
219 287 10
219 290 10
221 226 3
222 259 10
223 374 1
224 377 5
226 242 2
228 295 8
232 386 4
234 337 8
235 292 2
238 256 4
239 289 6
239 293 9
239 388 10
240 312 3
240 354 4
242 341 4
249 381 2
250 324 8
251 322 4
251 393 10
252 373 7
261 262 7
263 273 10
265 276 5
266 398 10
268 300 5
273 293 2
274 368 10
277 320 6
277 381 9
278 306 3
279 312 7
281 321 1
282 296 8
286 397 8
290 330 3
290 351 9
291 367 10
293 388 2
296 316 1
296 359 10
310 321 6
312 355 4
320 328 9
333 371 10
334 344 9
335 345 1
340 369 4
344 350 7
348 359 6
355 362 4
358 364 1
377 378 10
