100 196
0 1 9
0 2 6
0 3 1
0 5 10
0 7 6
0 9 9
0 10 8
0 11 9
0 13 3
0 14 1
0 17 2
0 18 4
0 19 8
0 20 9
0 22 9
0 23 6
0 25 2
0 28 4
0 32 10
0 36 5
0 38 3
0 44 8
0 45 4
0 47 8
0 50 2
0 57 6
0 60 1
0 61 3
0 68 2
0 71 1
0 77 6
0 78 6
0 86 2
0 88 4
0 91 4
0 98 6
1 3 6
1 4 7
1 6 4
1 7 4
1 8 10
1 15 7
1 17 7
1 21 10
1 27 5
1 28 8
1 43 1
1 45 7
1 49 1
1 65 9
1 67 2
1 75 8
1 78 10
1 97 9
1 99 1
2 4 3
2 16 5
2 41 4
2 57 10
2 79 5
3 8 7
4 5 8
4 6 3
4 12 6
4 13 10
4 15 3
4 16 4
4 18 10
4 19 2
4 23 3
4 30 5
4 36 6
4 40 5
4 53 1
4 62 10
4 64 8
4 69 5
4 74 5
4 80 10
4 83 9
4 86 5
4 87 5
4 93 4
4 99 7
5 11 2
5 12 5
5 22 8
5 24 1
5 30 10
5 33 5
5 34 2
5 39 7
5 42 4
5 62 9
5 67 10
6 9 8
6 29 9
6 31 7
6 37 8
6 50 6
6 55 10
6 60 9
6 82 3
7 59 1
8 10 1
8 14 5
8 20 10
8 26 10
10 32 8
10 51 2
10 58 9
10 85 7
10 95 8
11 61 5
12 37 3
12 84 10
13 26 4
13 40 5
15 46 3
15 47 10
15 73 10
16 21 9
16 33 8
16 43 7
16 49 9
16 68 4
16 96 6
17 38 10
17 46 10
17 52 10
18 51 1
18 54 9
19 24 9
21 25 4
21 34 8
21 75 5
22 42 2
22 76 1
24 27 10
24 35 10
24 72 1
25 35 9
26 29 8
26 64 5
26 65 4
26 84 5
26 91 7
27 44 5
27 56 4
27 90 4
27 92 9
29 31 7
30 98 1
31 39 4
31 55 4
31 56 2
32 81 2
32 82 4
33 48 9
33 59 10
33 97 8
34 58 9
35 71 7
35 89 5
37 41 1
37 53 7
37 81 9
39 70 5
41 93 7
43 48 5
43 80 8
45 63 2
45 69 4
49 52 3
49 54 3
49 76 8
49 95 4
50 66 3
50 72 4
50 88 5
52 63 8
57 70 5
57 85 7
57 94 4
59 96 7
61 66 9
62 87 7
64 79 8
66 73 1
66 74 6
69 77 8
69 89 3
74 83 8
79 90 3
79 92 9
87 94 8
